Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): Erectile function,Domain (support): Incomplete outcome data (attrition bias): Erectile function,Domain (judgement): Incomplete outcome data (attrition bias): Sexual quality of life,Domain (support): Incomplete outcome data (attrition bias): Sexual quality of life,Domain (judgement): Incomplete outcome data (attrition bias): Cardiovascular mortality,Domain (support): Incomplete outcome data (attrition bias): Cardiovascular mortality,Domain (judgement): Incomplete outcome data (attrition bias): Treatment withdrawal due to adverse events,Domain (support): Incomplete outcome data (attrition bias): Treatment withdrawal due to adverse events,Domain (judgement): Incomplete outcome data (attrition bias): Prostate-related events,Domain (support): Incomplete outcome data (attrition bias): Prostate-related events,Domain (judgement): Incomplete outcome data (attrition bias): Lower urinary tract symptoms,Domain (support): Incomplete outcome data (attrition bias): Lower urinary tract symptoms,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Lunglmayr 1980,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""The study was conducted double-blind versus placebo"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""The study was conducted double-blind versus placebo"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Maggi 2016,Low risk,"<p>Quote: ""Treatment group assignment was determined by a computer-generated random sequence that used an interactive voice response system"".</p>",Low risk,"<p>Quote: ""Treatment group assignment was determined by a computer-generated random sequence that used an interactive voice response system"".</p>",Low risk,"<p>Quote: ""To maintain blinding, participants were required to apply a single dose of study drug from each of four bottles to the axillae each day. Each of these four bottles could contain 0 or 30 mg of testosterone per one pump accentuation, thereby permitting a dosage range of 0 (placebo) to 120 mg...Patients randomized to testosterone solution began the double blinded phase on 60 mg once daily"".</p><p>Judgment: no information about who was blinded.</p>",Low risk,"<p>Quote: ""To maintain blinding, participants were required to apply a single dose of study drug from each of four bottles to the axillae each day. Each of these four bottles could contain 0 or 30 mg of testosterone per one pump accentuation, thereby permitting a dosage range of 0 (placebo) to 120 mg...Patients randomized to testosterone solution began the double blinded phase on 60 mg once daily"".</p><p>Judgment: no information about who was blinded.</p>",High risk,<p>Judgment: 273/358 (76%) in the experimental group and 265/357 (74%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: 354/358 (99%) in the experimental group and 356/357 (99%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 354/358 (99%) in the experimental group and 356/357 (99%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 354/358 (99%) in the experimental group and 356/357 (99%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Merza 2006,Low risk,"<p>Quote: ""The randomization list was generated by the Biostatistical Department at Ferring AB.""</p>",Unclear risk,<p>Judgment: not described.<br>&nbsp;</p>,Unclear risk,"<p>Quote: ""randomized double-blind placebo-controlled study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""randomized double-blind placebo-controlled study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: 19/20 (95%) in the intervention group and 19/19 (100%) in the placebo group completed the study.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 19/20 (95%) in the intervention group and 19/19 (100%) in the placebo group completed the study.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Morales 2009,Low risk,"<p>Quote: ""Blinded treatment packages were prepared and assigned by a central pharmacist using randomly permuted blocks of size nine"".</p>",Low risk,"<p>Quote: ""Blinded treatment packages were prepared and assigned by a central pharmacist using randomly permuted blocks of size nine"".</p>",Low risk,"<p>Quote: ""Blinded treatment packages were prepared and assigned by a central pharmacist using randomly permuted blocks of size nine"".</p>",Low risk,"<p>Quote: ""Blinded treatment packages were prepared and assigned by a central pharmacist using randomly permuted blocks of size nine"".</p>",Unclear risk,<p>Judgment: 24/29 (83%) in the experimental group and 28/29 (97%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: 24/29 (83%) in the experimental group and 28/29 (97%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: 28/29 (96.5%) in the experimental group and 29/29 (100%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: 23/29 (80%) in the experimental group and 28/29 (97%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Paduch 2015,Low risk,"<p>Quote: ""Randomization was determined by a computer-generated random sequence using an interactive voice response system"".</p>",Low risk,"<p>Quote: ""Randomization was determined by a computer-generated random sequence using an interactive voice response system"".</p>",Low risk,"<p>Quote: ""The sponsor, study-site personnel, and participants were blinded to the treatment assignment"".</p>",Low risk,"<p>Quote: ""The sponsor, study-site personnel, and participants were blinded to the treatment assignment"".</p>",Unclear risk,<p>Judgment: 31/36 (86%) in the experimental group and 35/40 (88%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: 31/36 (86%) in the experimental group and 35/40 (88%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: 31/36 (86%) in the experimental group and 35/40 (88%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Rao 2023,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""randomised double-blinded placebo controlled trial""</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""randomised double-blinded placebo controlled trial""</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: the number of participants in the analysis was not reported and only a P value was reported.&nbsp;</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Reiter 1999,Unclear risk,<p>Judgment: not described.</p>,Low risk,"<p>Quote: ""The randomization was performed by selecting sealed envelopes"".</p>",Unclear risk,"<p>Quote: ""prospective, double-blind, randomized, placebo-controlled trial"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""prospective, double-blind, randomized, placebo-controlled trial"".</p><p>Judgment: no information about who was blinded.</p>",High risk,<p>Judgment: 17/20 (85%) in the experimental group and 13/20 (65%) in the control group were included in the analysis.</p>,High risk,<p>Judgment: 17/20 (85%) in the experimental group and 13/20 (65%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,High risk,<p>Judgment: 17/20 (85%) in the experimental group and 13/20 (65%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Roth 2011,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""prospective, randomized, double‐blind, placebo‐controlled trial"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""prospective, randomized, double‐blind, placebo‐ controlled trial"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Schiavi 1997,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""double-blind placebo controlled, cross-over study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""double-blind placebo controlled, cross-over study"".</p><p>Judgment: no information about who was blinded.</p>",Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Seftel 2004,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Low risk,"<p>Quote: ""The randomization was balanced with respect to treatment allocation within each center and was blinded with respect to the gel-treated groups...The study was double-blinded for the T gel and placebo groups and open-label for the T patch group...These titration decisions were undertaken by a third party physician who was unaware of any clinical aspects of the individual subjects"".</p>",Unclear risk,"<p>Quote: ""The study was double-blinded for the T gel and placebo groups and open-label for the T patch group...These titration decisions were undertaken by a third party physician who was unaware of any clinical aspects of the individual subjects"".</p><p>Judgment: no information about whether the outcome assessor was blinded.</p>",High risk,"<p>Judgment: 105/106 (99%) in experimental group A, 45/99 (45%) in experimental group B, and 80/99 (80%) in the control group were included in the analysis.</p>",Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Shabsigh 2004a,Low risk,"<p>Quote: ""Randomization was based on a computer generated schedule stratified by investigator"".</p>",Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""randomized, placebo controlled, double-blind, parallel group study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""randomized, placebo controlled, double-blind, parallel group study"".</p><p>Judgment: no information about who was blinded.</p>",Low risk,<p>Judgment: 37/39 (95%) in the experimental group and 33/36 (92%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 37/39 (95%) in the experimental group and 33/36 (92%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Snyder 2016,Low risk,"<p>Quote: ""We allocated participants to either placebo or T arms using minimization, with participants assigned to the optimally balancing treatment with 80% probability"".</p>",Low risk,"<p>Quote: ""Only the Data Coordinating Center and the pharmacist were aware of the treatment allocation"".</p>",Low risk,"<p>Quote: ""The participants, the study staff at the trial sites, and the investigators were blinded to treatment allocation... To maintain blinding, when the dose was adjusted in a participant taking T, the dose was changed simultaneously in a participant taking placebo"".</p><p>Judgment: participant, care provider, investigator, and outcomes assessor were blinded (reported in published protocol).</p>",Low risk,"<p>Quote: ""The participants, the study staff at the trial sites, and the investigators were blinded to treatment allocation... To maintain blinding, when the dose was adjusted in a participant taking T, the dose was changed simultaneously in a participant taking placebo""</p><p>Judgment: participant, care provider, investigator, and outcomes assessor were blinded (reported in published protocol).</p>",High risk,<p>Judgment: 234/395 (59%) in the experimental group and 236/395 (60%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: 394/395 (99%) in the experimental group and 394/395 (99%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 394/395 (99%) in the experimental group and 394/395 (99%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 394/395 (99%) in the experimental group and 394/395 (99%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,"<p>Quote: ""there were more Hispanics in the T group and more men married and living with a partner in the placebo group (P .02 for both comparisons); two such imbalances among 40 baseline characteristics are expected by chance"".</p><p>Judgment: not detected.</p>"
Spitzer 2012,Low risk,"<p>Quote: ""Participants were randomly assigned without stratification in a concealed 1:1 allocation to either testosterone or placebo gel by using permuted blocks with a block size of 4. A statistician generated a randomization sequence, which was given to the investigational drug pharmacy for implementation.""</p>",Low risk,"<p>Quote: ""Pharmacists assigned participants to a randomization number and testosterone or placebo gel and recorded allocation in a concealed table.""</p>",Low risk,"<p>Quote: ""The investigating staff and participants were blinded to intervention allocation... Testosterone and placebo gels were packaged in identical tubes, and participants were prescribed 3 tubes of gel daily to maintain blinding.""</p>",Low risk,"<p>Quote: ""The investigating staff and participants were blinded to intervention allocation... Testosterone and placebo gels were packaged in identical tubes, and participants were prescribed 3 tubes of gel daily to maintain blinding.""</p>",Unclear risk,<p>Judgment: 58/70 (83%) in the experimental group and 57/70 (81%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: 58/70 (83%) in the experimental group and 57/70 (81%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Yucel 2017,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""prospective randomized clinical placebo-controlled trial"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""prospective randomized clinical placebo-controlled trial""</p><p>Judgment: no information about who was blinded.</p>",Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Zhang 2012,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Zhong 2013,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: 42/50 (86%) in the experimental group and 40/50 (80%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: 42/50 (86%) in the experimental group and 40/50 (80%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
