Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,9,Subgroup analysis: eczema by 2 years by method of feeding,Infants fed predominately human milk,1,SUBGROUP_AND_OVERALL,Taylor 2006,2006,0.0,0.18129993089454552,0.0,0.0,38,88,0.0,0.0,34,87,0.0,0.03286966494236698,7.959836,1.104947,0.774495,1.576391,,Some concerns,"<p>Computerised randomisation schedule with allocation and dispensing by pharmacy. Groups were stratified and block-randomised according to maternal allergy (asthma compared with other allergies); parity (first child compared with 2 or more children); and paternal allergy (allergy compared with no allergy).</p><p>Recruitment before randomisation. Allocation completed by external personnel, independent from the investigators. Significant differences were seen with birth length (P = 0.013) and birth head circumference (P = 0.023) between the 2 groups as analysed. Other baseline characteristics between groups were balanced with no significant differences reported.</p>",Low risk,"<p>Placebo supplements were image-matched, and participants, research scientists, and paediatrician remained blinded for the duration of the study. Randomisation and allocation of supplements occurred at a separate area from participant recruitment. Supplements were dispensed to participants by persons independent from the allocation process.</p>",Low risk,"<p>Losses to follow up: 8/226 withdrew prior to receiving allocation. 40/226 discontinued intervention: 2 due to non-compliance/found study too demanding, 4 due to colic or apparent abdominal discomfort in the baby, 2 due to postnatal depression, 4 due to unrelated infant health problems, 2 due to infant refusing to take supplement. 178/226 analysed at 6 and 12 months (probiotic group n = 89, placebo group n = 89) with 48/226 (21%) loss to follow-up/discontinued at 12 months. Additional control infant not reported for atopic eczema. 153/226 analysed at 2.5-year assessment with 73/226 (32%) loss to follow-up at 2.5 years. 123/226 analysed at 5-year assessment (probiotic group n = 66, placebo group n = 57) with 103/226 (45%) loss to follow-up.&nbsp;</p><p>Dropout rate was similar across both groups and no indication that missing data was related to health outcomes.</p>",Low risk,"<p>Primary outcome atopic dermatitis and food allergy at 6 and 12 months and evidence of allergen sensitisation at 12 months age. Children were clinically evaluated at 5 years of age, including a detailed history, allergy skin prick testing and physical examinations. Specific definitions for allergy reported. Clinical outcomes were evaluated by the same paediatrician at 5 years of age as at the earlier visits (Prof SL Prescott).</p>",Some concerns,<p>No pre-specified analysis plan found. No clinical trial registry number found.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,9,Subgroup analysis: eczema by 2 years by method of feeding,Infants fed predominately human milk,1,SUBGROUP_AND_OVERALL,Wickens 2008,2008,0.0,0.0,0.0,0.0,59,315,0.0,0.0,41,159,0.0,0.0,8.191177,0.726365,0.511898,1.030685,,Low risk,"<p>Performed by clinical trials pharmacist, stratified by study centre and performed in blocks of 15 according to a computer-generated randomisation list.</p><p>Well-balanced after randomisation. Differences in participation rates at 11 years by outcomes at 6 years were not significant between study groups.</p><p>At enrollment assigned to next sequential study number. Allocation of supplements were performed by external personnel not associated with participants.</p>",Low risk,"<p>All study nurses and participants were blind to treatment assignment for the duration of the study. To evaluate the efficacy of the blinding, the final questionnaire asked participants to indicate whether they believed they were in a probiotic or placebo group.</p>",Low risk,"<p>Losses to follow up: 66/512 (13%). Loss to follow-up prebirth n = 7, not meeting birth criteria n = 31, lost to follow-up n = 28. 35 discontinuation of intervention. 422/512 participants responded to the 6 year follow up (loss to follow up: 90/512 (18%)); L. rhamnosus group n = 134, B. lactis group n = 144, placebo group n = 144. 342/512 participants completed questionnaire at 11 year follow up (loss to follow up: 170/512 (33%); L. rhamnosus group n = 109, B. lactis group n = 118, placebo group n = 115.</p><p>Loss to follow-up and drop out were due to sickness in mother, infant, time management, relocation, unable to be contacted, opposed capsules or declined contact. Reasons were not related to health outcomes measured.&nbsp;</p>",Low risk,"<p>Primary outcome cumulative prevalence of eczema by 2 years. Specific definitions for eczema and allergic disease reported.</p><p>The research staff were trained in determining eczema by using an internationally recognised training manual for defining atopic eczema (SCORAD). This occurred for all participants regardless of whether they had been diagnosed with eczema. Allergy testing was performed by the study nurse, using a panel of allergens shown to detect 90% of atopic children at 15 months.</p>",Low risk,<p>Pre-specified analysis plan provided. ACTRN12607000518460.</p>,Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,9,Subgroup analysis: eczema by 2 years by method of feeding,Infants fed predominately cow's milk formula,2,SUBGROUP_AND_OVERALL,Allen 2014,2014,0.0,0.08295446318897953,0.0,0.0,119,214,0.0,0.0,132,226,0.0,0.006881442962971759,30.41318,0.952067,0.809202,1.120156,,Low risk,"<p>A computer-generated, random allocation sequence without blocks allocated the mother-infant dyad at 36 weeks of gestation to either the treatment or placebo arm of the study on a 1:1 basis.</p><p>The allocation sequence was generated by the independent statistician and was held in sealed, opaque envelopes at the trial site for emergency access but was not available to any member of the research team.</p><p>Research staff allocated dyads sequentially to the next number in the sequence.</p>",Low risk,<p>Placebo used. The placebo capsules containing maltodextrin were of identical appearance as the active product.</p><p>Strict blinding of research personnel. The databases were locked following data collection.</p>,Low risk,"<p>~ 15% overall loss to follow up. Failure to participate include: lost contact with research team (288), not sufficiently interested or disliked tests (184), concern that trial was (quote:) ""too much to take on"" (129), unwillingness to take the investigation products (85), not prepared to be allocated to the placebo arm (21), developed a medical condition (16), language difficulties (10), not willing for this child to be treated differently from previous child (7), bereavement (2). Exclusions included pregnancy complications (110), presented after 36 weeks' gestation or at the end of the recruitment period and before 36 weeks' gestation (83), multiple pregnancy (14), contacted again after recruitment terminated (9), previous infant participated in trial (6), unwilling to stop current probiotic (1). Completed study at 2 years: probiotic group 187/220 (85%); placebo group 191/234 (82%).</p><p>Reasons for drop out were noted and not related to study intervention.</p>",Some concerns,"<p>Prespecified allergy outcomes. Specific definitions for allergy. Definition for respiratory symptoms with asthma and allergic rhinitis was not specified and included (quote:) ""whether or not diagnosed by a health professional"".</p><p>Parental report of a clinician's diagnosis of allergy (recall bias). Follow-up was often delayed; includes children seen up to, but not including, age 3 years.</p>",Some concerns,<p>No pre-specified analyses. ISRCTN26287422</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,9,Subgroup analysis: eczema by 2 years by method of feeding,Infants fed predominately cow's milk formula,2,SUBGROUP_AND_OVERALL,Hascoët 2011,2011,0.0,1.6177998710484025,0.0,0.0,0,40,0.0,0.0,1,39,0.0,2.6172764227642276,0.106961,0.325203,0.013648,7.748696,,Some concerns,"<p>Stratified randomisation was performed using SAS version 8.2 (SAS Institute, Cary, NC). Stratification was based on sex and mode of delivery (caesarean section vs vaginal birth). Study formula and study formula groups were well balanced.<br>Double-blind, controlled trial. Stratified randomisation was managed by sponsor - Nestle. Details of allocation concealment not described.</p>",Low risk,"<p>Control formula used. All 3 formulas in the study contained proteins, carbohydrates, fats, minerals, and vitamins in quantities that provided full nutritional support for infants from birth up to 4 months of age.</p><p>Double-blinded study. Control formula used. Formulas were manufactured and blinded by the sponsor, which was the only party with knowledge of the product codes.</p>",Low risk,"<p>Loss to follow-up: 27 (17%) were withdrawn before the end of the study, data from these infants were used when available; only reason for discontinuation was non-compliance - i.e. the family did not arrive for the study visit—and rates were similar in both groups. None of the drop-outs had shown signs of atopic disease before discontinuation.</p>",Some concerns,<p>The primary aim of the study was to compare the bifidobacterial counts of infants fed different formulas and breastfed. Specific definitions for allergy-skin problems was not included.</p>,Some concerns,<p>No pre-specified analysis plan. No clinical trial registry provided.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,9,Subgroup analysis: eczema by 2 years by method of feeding,Infants fed predominately cow's milk formula,2,SUBGROUP_AND_OVERALL,Soh 2009,2009,0.0,0.23246804389296338,0.0,0.0,27,124,0.0,0.0,30,121,0.0,0.05404139143142075,4.970395,0.878226,0.556838,1.385107,,Some concerns,<p>Sequential computerised randomisation in blocks of 6. Allocation concealment was not specified.&nbsp;</p><p>Well balanced groups after randomisation. No significant differences in the baseline demographics and family history of allergic disease between the participants who completed follow-up and those who were lost to follow-up. Participants in the probiotic group and placebo group that completed the 5 year follow-up did not differ significantly in environmental factors.</p><p>Allocation concealment not specified.&nbsp;</p><p>A large number of participants (208/266) continued to consume probiotics of their own accord in the form of milk formula/food/supplements with probiotics. The investigators noted that this was statistically associated with a reduced incidence of asthma and allergic rhinitis at the age of 5 years.</p>,Low risk,"<p>The formula feeds (test and control) tasted and appeared identical.<br>Mothers (caregivers), doctors, nurses and statisticians involved in the trial were blinded to milk formula allocation.</p>",Low risk,"<p>8/253 withdrew before follow-up. 10 participants dropped out (probiotic group = 2, placebo group = 8). Analysed at 1 year: probiotic group n = 124, placebo group n = 121). Loss to follow-up: 18/253 (7%). 220/253 (87%) participants completed follow-up until 5 years. Small number of drop outs.&nbsp;</p>",Low risk,<p>Primary clinical outcome measure was the incidence of eczema in 1st year; secondary outcome measure allergen sensitisation. Specific definitions for allergy reported.</p>,Some concerns,"<p>Pre-specified analysis plan was not found for follow up at 1yr. Pre-specified analysis plan available for follow up at 5 and 7 years, although no indication of whether there was any deviation from pre-specified plan. NCT00318695, NCT00365469, NCT00826189.</p>",Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,9,Subgroup analysis: eczema by 2 years by method of feeding,Infants fed predominately cow's milk formula,2,SUBGROUP_AND_OVERALL,Vlieger 2009,2009,0.0,0.43835044140621054,0.0,0.0,10,41,0.0,0.0,7,38,0.0,0.19215110948101963,1.440723,1.324042,0.56076,3.126268,,Some concerns,"<p>Computerised random-number generator. Allocation concealment and sequence not reported.</p><p>Baseline characteristics, including birth weight, gestational age, and mode of delivery, were similar between the probiotic and control groups. Fewer infants were born by caesarean section in the probiotic group.</p>",Low risk,"<p>Both formulas had similar taste, smell and colour. Diaries and growth charts were analysed by authors who were all blinded to the treatment arm.&nbsp;</p><p>Compliance was monitored and no major deviations from the protocol were reported.</p>",Low risk,"<p>159 mothers enrolled. 133 infants allocated to treatment. 7/133 (5%) at 3 months; 33/133 (25%) at 6 months. Unclear timing of exclusions in relation to randomisation. Reasons for drop out include colic, regurgitation, constipation and practical regions. Reasons for drop out and incidence of adverse events were similar in both groups.</p><p>Dropout were not related to health outcomes related to the intervention.</p>",Low risk,"<p>Recorded adverse events; primary outcomes were pre-specified and analyses followed a planned approach.</p><p>Parental-reported episodes of upper respiratory tract infections and gastrointestinal tract infections, number of antibiotics and general practitioner visits were recorded by parents.</p>",Some concerns,<p>No pre-specified analysis plan was available. ISRCTN78225533.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic containing L. rhamnosus,1,SUBGROUP_AND_OVERALL,Cabana 2007,2007,0.0,0.22628558647745445,0.0,0.0,26,92,0.0,0.0,29,92,0.0,0.05120516664744551,5.638387,0.896552,0.575388,1.396979,,Low risk,<p>Group assignment was based on the output from a computer-generated randomisation program that was accessed by the study coordinator once eligibility and consent was obtained.</p><p>Group allocation and the randomisation sequence were concealed from the study staff and investigators to further eliminate conscious or unconscious selection bias. Participants were randomly assigned after enrolment in the nursery.</p><p>Groups are balanced and similar in characteristics.</p>,Low risk,"<p>Participants, parents, study staff, and investigators were blinded to group assignment. The control capsule did not differ from the active capsule in terms of appearance, taste, smell or texture. After the end of the intervention period at 6 months, parents were surveyed to determine if they could correctly identify whether they received the active or control capsule.</p><p>Participants who were accrued earlier had more assessments, bias was avoided by using survival analysis methods that account for variable lengths of follow-up.&nbsp;</p>",Low risk,"<p>Loss to follow up: 10% of mothers per arm discontinued participation before treatment initiation, leaving 184 infants who were randomly assigned and initiated treatment. 95% of infants followed for at least 2 years. 77% for at least 3 years, 46% for at least 5 years. Reason for loss to follow-up at 2 years, 3 years and at least 5 years has not been reported.&nbsp;</p><p>Small number of loss to follow up at 2 years, although reasons for loss to follow-up were not specified.&nbsp;</p>",Low risk,<p>The objective of the study was to determine if probiotic administration during the first 6 months of life affects childhood asthma and eczema. Specific definitions for outcomes described and assessment of outcome was clearly defined.</p>,Low risk,"<p>Pre-planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT00113659.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic containing L. rhamnosus,1,SUBGROUP_AND_OVERALL,Kalliomaki 2001,2001,0.0,0.0,0.0,0.0,15,64,0.0,0.0,31,68,0.0,0.0,4.433427,0.514113,0.307698,0.858997,,Some concerns,"<p>Computer-generated, random assignment. Details of allocation concealment are not specified.</p><p>Potentially clinically significant although not statistically significant differences between groups after randomisation (placebo compared with probiotic): Parental smoking 21% compared with 12%; Furry pet at home 11% compared with 21%; boys 52% compared with 64%; Cord blood IgE &gt; 0.5 kU/L 30% compared with 40%. Groups were otherwise well balanced.</p>",Low risk,"<p>Placebo used. Lactobacillus GG and placebo capsules and contents looked, smelled, and tasted identical.</p><p>Quote: ""The physician who did the physical examinations, diagnoses of atopic disease, and antiasthma treatments was unaware of the contents of the capsules"".</p>",Some concerns,"<p>Losses to follow up: 27/159 (17%) lost; at 2 years, probiotic group n = 64, placebo group n = 68. Losses at 1 year reported to be due to non-compliance. 107/159 (67%), 33% loss to follow up completed follow up at 4 years. Followed up at 7 years: 116/159 (73%); probiotic group n = 53, placebo group n = 62. Does not report whether dropouts were related to specific outcomes nor the reason for missing data.</p>",Low risk,<p>Reported primary outcome measure was atopic disease at 2 years. Specific definitions for allergy reported. Reporting of outcomes at multiple time points. Primary outcomes were measured using validated methods.&nbsp;</p>,Low risk,"<p>Pre-planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT06035835.</p>",Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic containing L. rhamnosus,1,SUBGROUP_AND_OVERALL,Kopp 2008,2008,0.0,0.3347157481126815,0.0,0.0,14,50,0.0,0.0,12,44,0.0,0.11203463203463204,2.890323,1.026667,0.532744,1.978518,,Some concerns,<p>Blocks of 4 according to a computerised randomisation list. Computer randomised and blinded. Allocation concealment was not described.</p><p>No significant differences at baseline between groups in family history of atopy.</p>,Some concerns,"<p>Placebo used (microcrystalline cellulose). LGG and placebo capsules were made identical in appearance, taste, smell and packing. The physicians who conducted the physical examinations and diagnoses of atopic disease were unaware of the contents of the capsules until the end of the study.</p><p>Per-protocol analysis.</p>",Some concerns,<p>11/105 (10.5%) withdrew from the study during the follow-up or were excluded from the analysis because of major protocol violation. No details for the reason of drop-out were detailed.&nbsp;</p>,Low risk,<p>The primary end point was the manifestation of an atopic disease at the age of 2 years. Specific definitions for allergy reported. Primary outcomes were measured by validated and appropriate methods.&nbsp;</p>,Some concerns,<p>No pre-specified analysis plan. UKF00505.</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result.</p>
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic containing L. rhamnosus,1,SUBGROUP_AND_OVERALL,Rautava 2006,2006,0.0,0.5645794895318107,0.0,0.0,4,32,0.0,0.0,8,40,0.0,0.31875,1.088114,0.625,0.206685,1.889953,,Low risk,<p>Block randomisation with individual codes. Random allocation was generated independently from the investigators by the manufacturer of the capsules.</p><p>Assessed for eligibility then randomised. Random allocation was generated by independent personnel - allocation was concealed from participants and researchers.</p>,Low risk,<p>Placebo (microcrystalline cellulose).</p><p>All investigations were performed double-blind; the code was opened after all the infants had completed the study and data had been edited.</p>,Low risk,"<p>Losses to follow up: 9/81 (11%). Excluded infants discontinuing treatment. Probiotic group n = 6 loss to follow up - 2 discontinued due to gastrointestinal complaints, 1 for arduousness of study, 1 found formula inconvenient and 2 lost to follow up; placebo group n = 3 lost contact - 1 discontinued due to gastrointestinal complaints, 1 because of arduousness of study and 1 lost contact. Drop outs were not described to be due to study intervention.</p>",Low risk,<p>Allergy outcomes not reported to be prespecified. Primary outcomes including IgA secreting cells and serum levels were measured using appropriate validated clinical methods.</p>,Some concerns,<p>No pre-specified analysis plan. No clinical trial registry number found.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic containing L. rhamnosus,1,SUBGROUP_AND_OVERALL,Soh 2009,2009,0.0,0.0,0.0,0.0,27,124,0.0,0.0,30,121,0.0,0.0,5.399042,0.878226,0.556838,1.385107,,Some concerns,<p>Sequential computerised randomisation in blocks of 6. Allocation concealment was not specified.&nbsp;</p><p>Well balanced groups after randomisation. No significant differences in the baseline demographics and family history of allergic disease between the participants who completed follow-up and those who were lost to follow-up. Participants in the probiotic group and placebo group that completed the 5 year follow-up did not differ significantly in environmental factors.</p><p>Allocation concealment not specified.&nbsp;</p><p>A large number of participants (208/266) continued to consume probiotics of their own accord in the form of milk formula/food/supplements with probiotics. The investigators noted that this was statistically associated with a reduced incidence of asthma and allergic rhinitis at the age of 5 years.</p>,Low risk,"<p>The formula feeds (test and control) tasted and appeared identical.<br>Mothers (caregivers), doctors, nurses and statisticians involved in the trial were blinded to milk formula allocation.</p>",Low risk,"<p>8/253 withdrew before follow-up. 10 participants dropped out (probiotic group = 2, placebo group = 8). Analysed at 1 year: probiotic group n = 124, placebo group n = 121). Loss to follow-up: 18/253 (7%). 220/253 (87%) participants completed follow-up until 5 years. Small number of drop outs.&nbsp;</p>",Low risk,<p>Primary clinical outcome measure was the incidence of eczema in 1st year; secondary outcome measure allergen sensitisation. Specific definitions for allergy reported.</p>,Some concerns,"<p>Pre-specified analysis plan was not found for follow up at 1yr. Pre-specified analysis plan available for follow up at 5 and 7 years, although no indication of whether there was any deviation from pre-specified plan. NCT00318695, NCT00365469, NCT00826189.</p>",Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic containing L. rhamnosus,1,SUBGROUP_AND_OVERALL,Wickens 2008,2008,0.0,0.23913605840460678,0.0,0.0,22,157,0.0,0.0,41,159,0.0,0.057186054429291505,5.156356,0.543421,0.340082,0.868339,,Low risk,"<p>Performed by clinical trials pharmacist, stratified by study centre and performed in blocks of 15 according to a computer-generated randomisation list.</p><p>Well-balanced after randomisation. Differences in participation rates at 11 years by outcomes at 6 years were not significant between study groups.</p><p>At enrollment assigned to next sequential study number. Allocation of supplements were performed by external personnel not associated with participants.</p>",Low risk,"<p>All study nurses and participants were blind to treatment assignment for the duration of the study. To evaluate the efficacy of the blinding, the final questionnaire asked participants to indicate whether they believed they were in a probiotic or placebo group.</p>",Low risk,"<p>Losses to follow up: 66/512 (13%). Loss to follow-up prebirth n = 7, not meeting birth criteria n = 31, lost to follow-up n = 28. 35 discontinuation of intervention. 422/512 participants responded to the 6 year follow up (loss to follow up: 90/512 (18%)); L. rhamnosus group n = 134, B. lactis group n = 144, placebo group n = 144. 342/512 participants completed questionnaire at 11 year follow up (loss to follow up: 170/512 (33%); L. rhamnosus group n = 109, B. lactis group n = 118, placebo group n = 115.</p><p>Loss to follow-up and drop out were due to sickness in mother, infant, time management, relocation, unable to be contacted, opposed capsules or declined contact. Reasons were not related to health outcomes measured.&nbsp;</p>",Low risk,"<p>Primary outcome cumulative prevalence of eczema by 2 years. Specific definitions for eczema and allergic disease reported.</p><p>The research staff were trained in determining eczema by using an internationally recognised training manual for defining atopic eczema (SCORAD). This occurred for all participants regardless of whether they had been diagnosed with eczema. Allergy testing was performed by the study nurse, using a panel of allergens shown to detect 90% of atopic children at 15 months.</p>",Low risk,<p>Pre-specified analysis plan provided. ACTRN12607000518460.</p>,Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic not containing L. rhamnosus,2,SUBGROUP_AND_OVERALL,Abrahamsson 2007,2007,0.0,0.19845090260405887,0.0,0.0,34,95,0.0,0.0,32,93,0.0,0.039382760744365655,6.916461,1.040132,0.704963,1.534652,,Low risk,"<p>Randomisation was stratified for each study centre. Each centre was provided an allocation list with unique identification numbers for each participant. Groups well balanced.</p><p>Randomised before delivery. Before the delivery, each bottle was labelled and randomly mixed by an independent contract manufacturer.</p>",Low risk,"<p>Randomised before delivery. Before the delivery, each bottle was labelled and randomly mixed by an independent contract manufacturer.</p><p>Placebo used. Daily intake 5 oil droplets. The placebo consisted of the same oil without any bacteria and was not possible to differentiate from the active product by smell, taste, or visual appearance.</p><p>Placebo used. Quote: ""none of the investigators or the pharmacies at the trial sites has access to the code.""</p>",Low risk,"<p>Losses to follow up: but excluded if admitted to neonatal ward, declined participation or poor compliance. Exclusions included discontinued before delivery (5), admitted to neonatal ward (18), declined participation after randomisation (19) or non-compliers with treatment (2). Reason for missing data is not related to participant outcomes. Completed study at 2 years: probiotic group 95/117 (81%); placebo group 93/115 (81%). 184 (79%) families with allergic disease completed follow-up study at 7 years: probiotic group 94; placebo group 90.</p>",Low risk,<p>The aim of the current study was to assess the effect of oral supplementation with L reuteri in infancy on eczema development and sensitisation during the first 2 years of life. Specific definitions for outcomes described as part of the diagnostic criteria.</p>,Low risk,"<p>Planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT01285830.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic not containing L. rhamnosus,2,SUBGROUP_AND_OVERALL,Allen 2014,2014,0.0,0.08295446318897953,0.0,0.0,119,214,0.0,0.0,132,226,0.0,0.006881442962971759,18.353609,0.952067,0.809202,1.120156,,Low risk,"<p>A computer-generated, random allocation sequence without blocks allocated the mother-infant dyad at 36 weeks of gestation to either the treatment or placebo arm of the study on a 1:1 basis.</p><p>The allocation sequence was generated by the independent statistician and was held in sealed, opaque envelopes at the trial site for emergency access but was not available to any member of the research team.</p><p>Research staff allocated dyads sequentially to the next number in the sequence.</p>",Low risk,<p>Placebo used. The placebo capsules containing maltodextrin were of identical appearance as the active product.</p><p>Strict blinding of research personnel. The databases were locked following data collection.</p>,Low risk,"<p>~ 15% overall loss to follow up. Failure to participate include: lost contact with research team (288), not sufficiently interested or disliked tests (184), concern that trial was (quote:) ""too much to take on"" (129), unwillingness to take the investigation products (85), not prepared to be allocated to the placebo arm (21), developed a medical condition (16), language difficulties (10), not willing for this child to be treated differently from previous child (7), bereavement (2). Exclusions included pregnancy complications (110), presented after 36 weeks' gestation or at the end of the recruitment period and before 36 weeks' gestation (83), multiple pregnancy (14), contacted again after recruitment terminated (9), previous infant participated in trial (6), unwilling to stop current probiotic (1). Completed study at 2 years: probiotic group 187/220 (85%); placebo group 191/234 (82%).</p><p>Reasons for drop out were noted and not related to study intervention.</p>",Some concerns,"<p>Prespecified allergy outcomes. Specific definitions for allergy. Definition for respiratory symptoms with asthma and allergic rhinitis was not specified and included (quote:) ""whether or not diagnosed by a health professional"".</p><p>Parental report of a clinician's diagnosis of allergy (recall bias). Follow-up was often delayed; includes children seen up to, but not including, age 3 years.</p>",Some concerns,<p>No pre-specified analyses. ISRCTN26287422.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic not containing L. rhamnosus,2,SUBGROUP_AND_OVERALL,Hascoët 2011,2011,0.0,1.6177998710484025,0.0,0.0,0,40,0.0,0.0,1,39,0.0,2.6172764227642276,0.137159,0.325203,0.013648,7.748696,,Some concerns,"<p>Stratified randomisation was performed using SAS version 8.2 (SAS Institute, Cary, NC). Stratification was based on sex and mode of delivery (caesarean section vs vaginal birth). Study formula and study formula groups were well balanced.<br>Double-blind, controlled trial. Stratified randomisation was managed by sponsor - Nestle. Details of allocation concealment not described.</p>",Low risk,"<p>Control formula used. All 3 formulas in the study contained proteins, carbohydrates, fats, minerals, and vitamins in quantities that provided full nutritional support for infants from birth up to 4 months of age.</p><p>Double-blinded study. Control formula used. Formulas were manufactured and blinded by the sponsor, which was the only party with knowledge of the product codes.</p>",Low risk,"<p>Loss to follow-up: 27 (17%) were withdrawn before the end of the study, data from these infants were used when available; only reason for discontinuation was non-compliance - i.e. the family did not arrive for the study visit—and rates were similar in both groups. None of the drop-outs had shown signs of atopic disease before discontinuation.</p>",Low risk,<p>The primary aim of the study was to compare the bifidobacterial counts of infants fed different formulas and breastfed. Specific definitions for allergy-skin problems was not included.</p>,Some concerns,<p>No pre-specified analysis plan. No clinical trial registry provided.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,10,Subgroup analysis: eczema by 2 years by probiotic type,Probiotic not containing L. rhamnosus,2,SUBGROUP_AND_OVERALL,Kim 2010,2010,0.0,0.2644114594971631,0.0,0.0,12,33,0.0,0.0,22,35,0.0,0.06991341991341991,4.362675,0.578512,0.344544,0.97136,,Some concerns,<p>Allocated by trials co-ordinator according to computerised randomisation. The groups were stratified and block-randomised in accordance with:</p><ul><li>maternal allergy (allergy compared with no allergy);</li><li>older siblings eczema; and</li><li>number of parents affected by allergic disease (1 compared with 2).</li></ul><p>Potentially clinically significant although not statistically significant differences between groups after randomisation in rates of caesarean delivery and duration of breastfeeding.</p><p>Treatment allocated by trials co-ordinator without detailed knowledge of the clinical history. Allocation was not completed by an external personnel.</p>,Low risk,"<p>Placebo used. The placebo looked, smelled and tasted identical to the probiotic. Participants were blinded.&nbsp;</p><p>Diagnosis and clinical assessment of eczema was performed by a paediatric allergist who remained unaware of the actual treatment administered during the entire study period.</p>",Some concerns,"<p>68/112 (61%) followed to 12 months. 23 participants dropped out before the 3 month follow-up due to declined participation, non-feeding, administration of other probiotic product outside of study, loss connection; 21 infants discontinued the study after 3 months for declined participation, poor compliance, loss connection, non-administration of probiotic or placebo. High number of drop out is of concern although the reasons were described to be unrelated to study intervention.&nbsp;</p><p>In the later group, the occurrence of eczema was 20.0% (2/10) in the probiotic group and 54.5% (6/11) in the placebo group at their last visit.</p>",Low risk,<p>Primary outcome eczema and sensitisation against common food allergens. Specific definitions for eczema and allergic disease reported.</p>,Some concerns,<p>No pre-specified analysis plan. ISRCTN26134979.</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result.</p>
