Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Author declarations of interest,Char: Study funding source,Char: Notes
Sarkar 2017,2017,PUB,26717898,"<p>Study type: Cluster RCT</p><p>Study registration: ISRCTCN23362894</p><p>Setting: India, Community (Low-income)</p><p>Study dates: 2012-2013</p><p>Recruitment method: Not reported</p>","<p>Participants: Adults, residents of selected low-income communities (N = 1213, Avg. age = 46.3 years, 20.3% Female)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 22.3%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Very brief quit advice, providing verbal information about the harmful effects of tobacco use and advice to stop tobacco use.</p><p>Provider: Not reported</p><p>Duration and intensity of support: 1 face-to-face session (lasted on average 1 min).</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Yogic breathing exercise and very brief quit advice. Two breathing exercises, ‘Kapalbhati’ (normal deep inhalation-forceful exhalation) and ‘Anulom vilom’ (alternate nostril breathing), were chosen.</p><p>Provider: &nbsp;A physician and a community health worker trained and initially supervised by a medical graduate researcher.</p><p>Duration and intensity of support: 1 face-to-face session of tobacco quit advice (average 15 min), and short training in two yogic breathing exercises.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Salivary cotinine &lt;20 ng/ml</p>,"<p>LS reports personal fees from pharmaceutical companies that make smoking cessation products and grants from Pfizer, outside the submitted work. RW reports grants and personal fees from companies that develop and manufacture smoking cessation medications, outside the submitted work; in<br>addition, he has a dormant patent ‘Nicotine cannon’ (novel nicotine delivery device) issued.</p>","<p>Wellcome Trust, UK Capacity Strengthening Strategic award to Public Health Foundation of India (PHFI) and a consortium of UK Universities (Award no 6936), with additional funding from Cancer Research UK (C1417/A14135) and UK’s National Centre for Smoking Cessation and Training.&nbsp;</p>",
Savant 2013,2013,PUB,26717902,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: India, Workplace</p><p>Study dates: Not reported</p><p>Recruitment method: Not reported</p>","<p>Participants: Industrial workers (N = 150, Age-range = 18-60 years)</p><p>Smokeless tobacco product: Chewing tobacco</p><p>Proportion using combustible tobacco: 48.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Brief advice in a clear, strong and personalized manner to quit tobacco consumption.</p><p>Provider: Dentist</p><p>Duration and intensity of support: 1 face-to-face session (10-15 min)</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Group counseling consisting 6-8 participants.</p><p>Provider: Dentist</p><p>Duration and intensity of support: 5x45 minute face-to-face sessions over 6 months.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 3: Individual counselling along with telephonic support for participants to call up the counsellor if they experienced problems in quitting.</p><p>Provider: Dentist</p><p>Duration and intensity of support: 5x45 minute face-to-face sessions over 6 months + &nbsp;additional phone-based counselling (when necessary).</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Cotinine (cutoffs not provided)&nbsp;</p>,<p>Not reported</p>,<p>Not reported</p>,
Schiller 2012,2012,PUB,26717904,"<p>Study type: RCT</p><p>Study registration: NCT00218296</p><p>Setting: USA, Community</p><p>Study dates: 2006-2009</p><p>Recruitment method: Advertisements on television, radio or in metropolitan and campus newspapers.</p>","<p>Participants: Adults, community residents (N = 332, Avg. age = 34.8 years, 0.3% Female)</p><p>Smokeless tobacco product: Snuff</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Immediate cessation: Setting an immediate quit date and receiving 2 weeks nicotine patch and behavioral counseling during the intervention period. A self‐help manual was also provided.</p><p>Provider: Unclear</p><p>Duration and intensity of support: 1 face-to-face session + 2 weeks nicotine patch + 1 phone counselling (10-15 min per session).</p><p>Pharmacotherapy: 21mg Nicotine Patch for 2 weeks.</p><p>&nbsp;</p><p>Intervention 2: Reduction: Counselling and instructions to reduce tobacco use by 50%, then 75% over 6 weeks prior to quit date, using nicotine lozenge or brand switching resulting in reduced nicotine exposure.&nbsp;</p><p>Provider: Unclear</p><p>Duration and intensity of support: 1 face-to-face session + choice of either 4mg nicotine lozenge or brand switching + 1 phone counselling (10-15 min per session).</p><p>Pharmacotherapy: &nbsp;Choice of 4mg nicotine lozenge or brand switching.</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 26 weeks</p><p>Biochemical validation: Urine cotinine &lt;20 ng/ml and anatabine &lt;2 ng/ml</p>,<p>Dorothy Hatsukami had received a grant from Nabi Biopharmaceutical to conduct a clinical trial on the nicotine vaccine for smoking &nbsp;cessation.</p>,"<p>National Institute on Drug Abuse of the National Institutes of Health (R01DA14404), and the National Heart, Lung and Blood Institute of the National Institutes of Health (T32HL007741).</p>",
Severson 2000,2000,PUB,26717908,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community (Rural)</p><p>Study dates: Not reported</p><p>Recruitment method: Advertisements and other publicity in print and electronic media.</p>","<p>Participants: Adults, community residents (N = 198, Avg. age = 38.9 years, 2.0% Female)</p><p>Smokeless tobacco product: US tins/pouches</p><p>Proportion using combustible tobacco: 4.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Self-help manual (Third edition of 'Enough Snuff: A guide for quitting ST) mailed, a copy of a video to help patients quit ST, and phone-based counsellor support.&nbsp;</p><p>Provider: Trained tobacco cessation counsellors.&nbsp;</p><p>Duration and intensity of support: The video was 16 min long, and the manual was 50 pages.&nbsp;</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Life-sign intervention: A small computer that promtped users to reduce the frequency and duration of tobacco use until elimination, with phone-based counsellor support.</p><p>Provider: Trained tobacco cessation counsellors.&nbsp;</p><p>Duration and intensity of support: 10-32 days.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>Not reported</p>,
Severson 2007,2007,PUB,26717911,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community (Rural)</p><p>Study dates: Not reported</p><p>Recruitment method: News stories and announcements in print and broadcast media.</p>","<p>Participants: 15 years and older, community residents (N = 1069, Avg. age = 38.3 years in assisted self-help and 38.8 years in manual-only, 3.0% Female)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 7.0% in assisted self-help and 4.0% in manual-only&nbsp;</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Self-help manual 'Enough Snuff: A Guide for Quitting Smokeless Tobacco, fourth edition (Severson, 1997)', a 60-page quitting guide mailed.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Asssisted self-help with a mailed copy of the Enough Snuff Manual, a 20 min video designed to accompany the manual, and two supportive phone calls. &nbsp;</p><p>Provider: Trained tobacco cessation counsellors.&nbsp;</p><p>Duration and intensity of support: 2 phone-based contacts.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 18 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>National Cancer Institute (Grant CA 60586).</p>,
Severson 2008,2008,PUB,26717918,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA and Canada, Community (Web-based)</p><p>Study dates: Not reported</p><p>Recruitment method: News releases to print and broadcast media, paid advertising, links on other websites, direct mailing to ST users and targeted mailling to health care and tobacco control professionals.</p>","<p>Participants: Adults, community residents (N = 2523, Avg. age = 36.8 years, 2.5% Female)</p><p>Smokeless tobacco product: North American ST</p><p>Proportion using combustible tobacco: 4.4%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Website (basic) designed to provide ST cessation content in a static, textual format. &nbsp;</p><p>Provider: Web-based delivery.</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Website (enhanced) designed to be a personal qutting assistant, with guided interactive programs to create a tailored quit plan, stream video, and offer wider range of resources.&nbsp;</p><p>Provider: Web-based delivery.</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>National Cancer Institute (Grant R01-CA84225).</p>,
Severson 2009,2009,PUB,26717929,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Dental practice (Military)</p><p>Study dates: 2003-2005</p><p>Recruitment method: Military personnel contacted at their annual dental examination.</p>","<p>Participants: Military personnel attending military dental clinics (N = 785, Avg. age = 30.4 years, 0.01% Female)</p><p>Smokeless tobacco product: North American ST</p><p>Proportion using combustible tobacco: 20.2%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Brief advice at dental check up and cessation clinic referral.</p><p>Provider: Dental provider.</p><p>Duration and intensity of support: 1 session</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Self-help guidebook, video-based ST cessation program and three brief counselling sessions.</p><p>Provider: Trained counsellors.</p><p>Duration and intensity of support: 3 phone-based counselling sessions, placed at 1 week after dental examination, 3 weeks after being mailed the self-help quitting materials, and few days after the quit date.&nbsp;</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 30 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>The views expresssed are those of the authors and are not the official plicy of the US dept of Defense or US Airforce.</p>,<p>Congressionally directed Medical research program's peer review medical research program to HHS (DAMD17-02-2-0).</p>,
Severson 2015,2015,PUB,26717932,"<p>Study type: RCT</p><p>Study registration: NCT01341938</p><p>Setting: USA, Community</p><p>Study dates: 2011-2013</p><p>Recruitment method: Online (Google AdWords) campaign.</p>","<p>Participants: Adults, community residents (N = 1067, Avg. age = 35.8 years, 2.4% Female)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 6.3%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Tobacco cessation counselling intended to reinforce and personalize the procedures described in the self-help materials.</p><p>Provider: Researchers experienced in motivational interviewing.</p><p>Duration and intensity of support: 3 proactive phone-based counselling sessions - Call #1 was 1 week after randomization, Call #2 was 2–3 days after participant’s quit date, Call #3 was 14–21 days following call #2.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: NRT</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: 3 boxes of Nicorette® Mini-Lozenges (4 mg): 81 lozenges/box. Tapered usage over time: weeks 1–6 = 1 lozenge every 1 to 2 hour, weeks 7–9 = 1 lozenge every 2–4 hour, and weeks 10–12 = 1 lozenge every 4–8hr. Additional boxes could be requested.&nbsp;</p><p>&nbsp;</p><p>Intervention 3: Tobacco cessation counselling intended to reinforce and personalize the procedures described in the self-help materials + NRT.</p><p>Provider: Researchers experienced in motivational interviewing.</p><p>Duration and intensity of support: 3 proactive phone-based counselling sessions - Call #1 was 1 week after randomization, Call #2 was 2–3 days after participant’s quit date, Call #3 was 14–21 days following call #2.</p><p>Pharmacotherapy: 3 boxes of Nicorette® Mini-Lozenges (4 mg): 81 lozenges/box. Tapered usage over time: weeks 1–6 = 1 lozenge every 1 to 2 hour, weeks 7–9 = 1 lozenge every 2–4hr, and weeks 10–12 = 1 lozenge every 4–8hr. Additional boxes could be requested.&nbsp;</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,"<p>JOE has received personal fees from GlaxoSmithKline and has received<br>research support from Pfizer, Orexigen, and JHP outside of this study.<br>GlaxoSmithKline provided the nicotine lozenges for the study, but it had no<br>role in the conduct of the study or in the preparation, review, approval of the manuscript, and decision to submit the manuscript for publication.</p>",<p>National Cancer Institute of the National Institutes of Health (Grant R01-CA142952).</p>,
Siddiqui 2024,2024,PUB,26717936,"<p>Study type: RCT</p><p>Study registration: ISRCTN65109397</p><p>Setting: Bangladesh, Pakistan and India; primary care</p><p>Study dates: 2019-2021</p><p>Recruitment method: ""Individuals seeking health-care and those attending clinics followingcommunity mobilization (public announcements, brochures and leaf-lets promoting the trial) were screened by a trained researcher using a checklist""&nbsp;</p>","<p>Participants: 264 adult daily ST users willing to make a quit attempt within 30 days (mean age 35; 46.9% female; 93% reported ""a lot"" of motivation to quit; mean FTND 5.3)</p><p>Smokeless tobacco product: tobacco paan (60.6%), mawa (24.2%), gutka (7.9%), khaini (7.2%), paan masala (6.4%), gul (6.4%), zarda (3.8%), naswar (4.2%)</p><p>Proportion using combustible tobacco: none - dual users excluded</p><p>Proportion using products containing areca or betel: not reported</p>","<p>Intervention 1: Very brief advice based on the 3As (Ask, Advise, Act) approach plus a self-help leaflet containing information on quit planning<br>Intervention 2: Behavioural intervention for smokeless tobaccocessation in adults (BISCA), up to eight sessions delivered face-to-face and then by telephone by trained profesiosnals, total duration could last over 3 hours<br>Intervention 3: NRT gum; 4 mg or 6 mg for 8 weeks<br>Intervention 4: Both BISCA and NRT</p>",<p>Definition of abstinence: continuous from quit date</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: saliva cotinine (cut-off &lt; 15 ng/ml)</p>,"<p>""The authors have no conflicts of interest to declare.""</p>","<p>""The ASTRA cessation trial was funded by the National Institute ofHealth and Care Research (UK) (programme ref. 17/63/76/GlobalHealth Research Groups). L.B.’s time was partly funded by theEconomic and Social Research Council via Behavioural Research UK(grant ref. ES/Y001044/1)""</p>",
Stevens 1995,1995,PUB,26717939,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Dental practice</p><p>Study dates: Not reported</p><p>Recruitment method: Participants attending routine dental care visits.</p>","<p>Participants: 15 years and older, routine dental hygiene visit (N = 576, Avg. age = Not reported, 100% Male)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 30.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Usual care - Patients may or may not have received advice to quit, depending on personal practice habits of dental care providers.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Oral examination with feedback, advice to quit, educational 9-minute video; a quit date was set and self-help booklet and 24-hour helpline provided along with a quit kit containing oral substitutes.&nbsp;</p><p>Provider: Dentist or dental hygienist.</p><p>Duration and intensity of support: 1 face-to-face contact, with phone-based and mail-based support.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: saliva samples were collected but not analysed&nbsp;</p>,<p>Not reported</p>,<p>National Cancer Institute (Grant Number P01 CA 44648).</p>,
Stotts 2003,2003,PUB,26717941,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, High school</p><p>Study dates: Not reported</p><p>Recruitment method: Radio and online advertisements, school-based awareness sessions.</p>","<p>Participants: 14-19 year-olds (N = 303, Avg. age = 17 years, 100% Male)</p><p>Smokeless tobacco product: Chewing tobacco or Snuff</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Brief advice only.</p><p>Provider: Not reported</p><p>Duration and intensity of support: 3-5 min brief counselling session and 5-10 min phone-based session 2 weeks later.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Behavioural intervention sessions, adapted to be age-appropriate with placebo patch.&nbsp;</p><p>Provider: Health educator</p><p>Duration and intensity of support: 6 weeks phone-based sessions, 50 minutes each.</p><p>Pharmacotherapy: Placebo patch</p><p>&nbsp;</p><p>Intervention 3: Behavioural intervention sessions, adapted to be age-appropriate with NRT patch.&nbsp;</p><p>Provider: Health educator</p><p>Duration and intensity of support: &nbsp;6 weeks phone-based sessions, 50 minutes each.</p><p>Pharmacotherapy: Active NRT patch (14 mg x 3 weeks, 7 mg x 3 weeks for light/moderate users. 21 mg x 2 weeks, 14 mg x 2 weeks, 7 mg x 2 weeks for heavy users).</p>",<p>Definition of abstinence: 30 day point prevalence</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Salivary cotinine (cutoffs not provided)</p>,<p>Not reported</p>,<p>National Cancer Institute (Grant Number R91 CA76969-03).</p>,
Tas 2020,2020,PUB,26717944,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: Turkey, High school</p><p>Study dates: Not reported</p><p>Recruitment method: Not reported</p>","<p>Participants: High school students who use ST (N = 90, Avg. age and Gender = Not reported)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Waitlist control, provided with educational information and brochures related to ST in the 12th month of the study.&nbsp;</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: A Motivational Interviewing (MI) program and information brochures.</p><p>Provider: Unclear</p><p>Duration and intensity of support: 5 face-to-face MI sessions at months 1-4. Sessions lasted 40 min on average for students at the stage of precontemplation, and 25–30 min on average for students at the stage of contemplation, preparation and maintenance. Phone interviews conducted at months 5-8 for 3–5 minutes in order to motivate.&nbsp;</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>Not reported</p>,
Virtanen 2015,2015,PUB,26717946,"<p>Study type: Cluster RCT</p><p>Study registration: ISRCTN50627997</p><p>Setting: Sweden, Dental practice</p><p>Study dates: 2012-2013</p><p>Recruitment method: Eligible dental practices identified and recruited via the head of each clinic, or the healthcare district managers.</p>","<p>Participants: Adults seeking dental care (N = 467, Avg. age = 45.6 years, 36.6% Female)</p><p>Smokeless tobacco product: Snus</p><p>Proportion using combustible tobacco: 8.9%</p><p>Proportion using products containing areca or betel: Not reported</p>",<p>Intervention 1: Assistance for tobacco cessation (face-to-face information on the consequences of tobacco on oral health).</p><p>Provider: Dentist or dental hygienist.</p><p>Duration and intensity of support: Not reported</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: A structured very brief advice based on the 5 A's.</p><p>Provider: Dentist or dental hygienist.</p><p>Duration and intensity of support: One face-to-face session of 5 minutes duration.</p><p>Pharmacotherapy: None</p>,<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>The authors declare that there are no conflicts of interest. No financial disclosures were reported by the authors of this paper.</p>,<p>National Board of Health and Welfare (Contract Grant Number 2.4-43860/2011).</p>,
Walsh 1999,1999,PUB,26717949,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, College</p><p>Study dates: 1990-1993</p><p>Recruitment method: Colleges with football and baseball teams enrolled through athletic directors/coaches; athletes recruited through team meetings.</p>","<p>Participants: Athletes from football and baseball teams (N = 360, Avg. age = Not reported, 100% Male)</p><p>Smokeless tobacco product: Chew/dip</p><p>Proportion using combustible tobacco: &lt; 2.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: No treatment.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Athletic team-based cessation program, consisting of oral examination, counselling and advice to quit, with nicotine gum.&nbsp;</p><p>Provider: Dentist, dental hygienist, non-ST-using peers.</p><p>Duration and intensity of support: 15-20 min one-time face-to-face interaction with 5-10 min phone-based contact on the quit date and 1 month.&nbsp;</p><p>Pharmacotherapy: Nicotine gum (2mg) was also offered to mitigate withdrawal symtpoms.&nbsp;</p>",<p>Definition of abstinence: 30 day point prevalence</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Salivary cotinine (cutoffs not provided)</p>,<p>Not reported</p>,<p>Tobacco Surtax Fund of the State of California through the Tobacco-Related Disease Research Program of the University of California.</p>,
Walsh 2010,2010,PUB,26717952,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, High school (Rural)</p><p>Study dates: 2000-2005</p><p>Recruitment method: Eligible schools enrolled by contacting the principal; individual subjects recruited via cover letter and consent form included in the student registration packs.</p>","<p>Participants: 17 years or younger, high school students (N = 4731, Avg. age = Not reported, 100% Male)</p><p>Smokeless tobacco product: Chew/dip</p><p>Proportion using combustible tobacco: 6.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: No treatment.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: A peer-led educational session, an oral examination with feedback, and three nurse-led group cessation counselling sessions.</p><p>Provider: School nurse and student peers.</p><p>Duration and intensity of support: 3-4 weeks (3 once a week 1-hour face-to-face sessions following 45 min peer session and oral exam).</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 30 day point prevalence&nbsp;</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Not done</p>,<p>None declared.</p>,"<p>National Institute of Dental and Craniofacial Research, National Institutes of Health (Grant Number US DHHS NIH/NIDCR P60DE13058).</p>",
